SI,ColumnNames
1,PortNumber
2,PortName
3,PortNotes
4,AccNumber
5,AccName
6,AccGroup
7,AccStatus
8,ExpiringAccNumber
9,CedantName
10,AccCurrency
11,AccUserDef1
12,AccUserDef2
13,AccUserDef3
14,AccUserDef4
15,AccUserDef5
16,AccPeril
17,AccDedCode1Building
18,AccDedType1Building
19,AccDed1Building
20,AccMinDed1Building
21,AccMaxDed1Building
22,AccDedCode2Other
23,AccDedType2Other
24,AccDed2Other
25,AccMinDed2Other
26,AccMaxDed2Other
27,AccDedCode3Contents
28,AccDedType3Contents
29,AccDed3Contents
30,AccMinDed3Contents
31,AccMaxDed3Contents
32,AccDedCode4BI
33,AccDedType4BI
34,AccDed4BI
35,AccMinDed4BI
36,AccMaxDed4BI
37,AccDedCode5PD
38,AccDedType5PD
39,AccDed5PD
40,AccMinDed5PD
41,AccMaxDed5PD
42,AccDedCode6All
43,AccDedType6All
44,AccDed6All
45,AccMinDed6All
46,AccMaxDed6All
47,AccLimitCode1Building
48,AccLimitType1Building
49,AccLimit1Building
50,AccLimitCode2Other
51,AccLimitType2Other
52,AccLimit2Other
53,AccLimitCode3Contents
54,AccLimitType3Contents
55,AccLimit3Contents
56,AccLimitCode4BI
57,AccLimitType4BI
58,AccLimit4BI
59,AccLimitCode5PD
60,AccLimitType5PD
61,AccLimit5PD
62,AccLimitCode6All
63,AccLimitType6All
64,AccLimit6All
65,PolNumber
66,PolStatus
67,PolInceptionDate
68,PolExpiryDate
69,ProducerName
70,Underwriter
71,BranchName
72,LOB
73,ExpiringPolNumber
74,PolPerilsCovered
75,PolGrossPremium
76,PolTax
77,PolBrokerage
78,PolNetPremium
79,LayerNumber
80,LayerParticipation
81,LayerLimit
82,LayerAttachment
83,HoursClause
84,PolPeril
85,PolDedCode1Building
86,PolDedType1Building
87,PolDed1Building
88,PolMinDed1Building
89,PolMaxDed1Building
90,PolDedCode2Other
91,PolDedType2Other
92,PolDed2Other
93,PolMinDed2Other
94,PolMaxDed2Other
95,PolDedCode3Contents
96,PolDedType3Contents
97,PolDed3Contents
98,PolMinDed3Contents
99,PolMaxDed3Contents
100,PolDedCode4BI
101,PolDedType4BI
102,PolDed4BI
103,PolMinDed4BI
104,PolMaxDed4BI
105,PolDedCode5PD
106,PolDedType5PD
107,PolDed5PD
108,PolMinDed5PD
109,PolMaxDed5PD
110,PolDedCode6All
111,PolDedType6All
112,PolDed6All
113,PolMinDed6All
114,PolMaxDed6All
115,PolLimitCode1Building
116,PolLimitType1Building
117,PolLimit1Building
118,PolLimitCode2Other
119,PolLimitType2Other
120,PolLimit2Other
121,PolLimitCode3Contents
122,PolLimitType3Contents
123,PolLimit3Contents
124,PolLimitCode4BI
125,PolLimitType4BI
126,PolLimit4BI
127,PolLimitCode5PD
128,PolLimitType5PD
129,PolLimit5PD
130,PolLimitCode6All
131,PolLimitType6All
132,PolLimit6All
133,StepFunctionName
134,StepTriggerType
135,StepNumber
136,StartTriggerBuilding
137,EndTriggerBuilding
138,DeductibleBuilding
139,PayOutBuilding
140,StartTriggerContent
141,EndTriggerContent
142,DeductibleContent
143,PayOutContent
144,StartTriggerBuildingContent
145,EndTriggerBuildingContent
146,DeductibleBuildingContent
147,PayOutBuildingContent
148,MinimumTIV
149,ScaleFactor
150,IsLimitAtDamage
151,PolUserDef1
152,PolUserDef2
153,PolUserDef3
154,PolUserDef4
155,PolUserDef5
156,CondNumber
157,CondName
158,CondPeril
159,CondDedCode1Building
160,CondDedType1Building
161,CondDed1Building
162,CondMinDed1Building
163,CondMaxDed1Building
164,CondDedCode2Other
165,CondDedType2Other
166,CondDed2Other
167,CondMinDed2Other
168,CondMaxDed2Other
169,CondDedCode3Contents
170,CondDedType3Contents
171,CondDed3Contents
172,CondMinDed3Contents
173,CondMaxDed3Contents
174,CondDedCode4BI
175,CondDedType4BI
176,CondDed4BI
177,CondMinDed4BI
178,CondMaxDed4BI
179,CondDedCode5PD
180,CondDedType5PD
181,CondDed5PD
182,CondMinDed5PD
183,CondMaxDed5PD
184,CondDedCode6All
185,CondDedType6All
186,CondDed6All
187,CondMinDed6All
188,CondMaxDed6All
189,CondLimitCode1Building
190,CondLimitType1Building
191,CondLimit1Building
192,CondLimitCode2Other
193,CondLimitType2Other
194,CondLimit2Other
195,CondLimitCode3Contents
196,CondLimitType3Contents
197,CondLimit3Contents
198,CondLimitCode4BI
199,CondLimitType4BI
200,CondLimit4BI
201,CondLimitCode5PD
202,CondLimitType5PD
203,CondLimit5PD
204,CondLimitCode6All
205,CondLimitType6All
206,CondLimit6All
