SI,ColumnNames
0,PortNumber
1,AccNumber
2,LocNumber
3,LocName
4,LocGroup
5,CorrelationGroup
6,IsPrimary
7,IsTenant
8,BuildingID
9,LocInceptionDate
10,LocExpiryDate
11,PercentComplete
12,CompletionDate
13,CountryCode
14,Latitude
15,Longitude
16,StreetAddress
17,PostalCode
18,City
19,AreaCode
20,AreaName
21,GeogScheme1
22,GeogName1
23,GeogScheme2
24,GeogName2
25,GeogScheme3
26,GeogName3
27,GeogScheme4
28,GeogName4
29,GeogScheme5
30,GeogName5
31,AddressMatch
32,GeocodeQuality
33,Geocoder
34,OrgOccupancyScheme
35,OrgOccupancyCode
36,OrgConstructionScheme
37,OrgConstructionCode
38,OccupancyCode
39,ConstructionCode
40,YearBuilt
41,NumberOfStoreys
42,NumberOfBuildings
43,FloorArea
44,FloorAreaUnit
45,LocUserDef1
46,LocUserDef2
47,LocUserDef3
48,LocUserDef4
49,LocUserDef5
50,FlexiLocZZZ
51,LocPerilsCovered
52,BuildingTIV
53,OtherTIV
54,ContentsTIV
55,BITIV
56,BIPOI
57,LocCurrency
58,LocGrossPremium
59,LocTax
60,LocBrokerage
61,LocNetPremium
62,NonCatGroundUpLoss
63,LocParticipation
64,PayoutBasis
65,ReinsTag
66,CondNumber
67,CondPriority
68,LocPeril
69,YearUpgraded
70,SurgeLeakage
71,SprinklerType
72,PercentSprinklered
73,RoofCover
74,RoofYearBuilt
75,RoofGeometry
76,RoofEquipment
77,RoofFrame
78,RoofMaintenance
79,BuildingCondition
80,RoofAttachedStructures
81,RoofDeck
82,RoofPitch
83,RoofAnchorage
84,RoofDeckAttachment
85,RoofCoverAttachment
86,GlassType
87,LatticeType
88,FloodZone
89,SoftStory
90,Basement
91,BasementLevelCount
92,WindowProtection
93,FoundationType
94,WallAttachedStructure
95,AppurtenantStructure
96,ConstructionQuality
97,GroundEquipment
98,EquipmentBracing
99,Flashing
100,BuildingShape
101,ShapeIrregularity
102,Pounding
103,Ornamentation
104,SpecialEQConstruction
105,Retrofit
106,CrippleWall
107,FoundationConnection
108,ShortColumn
109,Fatigue
110,Cladding
111,BIPreparedness
112,BIRedundancy
113,FirstFloorHeight
114,FirstFloorHeightUnit
115,Datum
116,GroundElevation
117,GroundElevationUnit
118,Tank
119,Redundancy
120,InternalPartition
121,ExternalDoors
122,Torsion
123,MechanicalEquipmentSide
124,ContentsWindVuln
125,ContentsFloodVuln
126,ContentsQuakeVuln
127,SmallDebris
128,FloorsOccupied
129,FloodDefenseHeight
130,FloodDefenseHeightUnit
131,FloodDebrisResilience
132,BaseFloodElevation
133,BaseFloodElevationUnit
134,BuildingHeight
135,BuildingHeightUnit
136,BuildingValuation
137,TreeExposure
138,Chimney
139,BuildingType
140,Packaging
141,Protection
142,SalvageProtection
143,ValuablesStorage
144,DaysHeld
145,BrickVeneer
146,FEMACompliance
147,CustomFloodSOP
148,CustomFloodZone
149,MultiStoryHall
150,BuildingExteriorOpening
151,ServiceEquipmentProtection
152,TallOneStory
153,TerrainRoughness
154,NumberOfEmployees
155,Payroll
156,LocDedCode1Building
157,LocDedType1Building
158,LocDed1Building
159,LocMinDed1Building
160,LocMaxDed1Building
161,LocDedCode2Other
162,LocDedType2Other
163,LocDed2Other
164,LocMinDed2Other
165,LocMaxDed2Other
166,LocDedCode3Contents
167,LocDedType3Contents
168,LocDed3Contents
169,LocMinDed3Contents
170,LocMaxDed3Contents
171,LocDedCode4BI
172,LocDedType4BI
173,LocDed4BI
174,LocMinDed4BI
175,LocMaxDed4BI
176,LocDedCode5PD
177,LocDedType5PD
178,LocDed5PD
179,LocMinDed5PD
180,LocMaxDed5PD
181,LocDedCode6All
182,LocDedType6All
183,LocDed6All
184,LocMinDed6All
185,LocMaxDed6All
186,LocLimitCode1Building
187,LocLimitType1Building
188,LocLimit1Building
189,LocLimitCode2Other
190,LocLimitType2Other
191,LocLimit2Other
192,LocLimitCode3Contents
193,LocLimitType3Contents
194,LocLimit3Contents
195,LocLimitCode4BI
196,LocLimitType4BI
197,LocLimit4BI
198,LocLimitCode5PD
199,LocLimitType5PD
200,LocLimit5PD
201,LocLimitCode6All
202,LocLimitType6All
203,LocLimit6All
204,BIWaitingPeriod
