PortNumber,AccNumber,LocNumber,LocName,LocGroup,CorrelationGroup,IsPrimary,IsTenant,BuildingID,LocInceptionDate,LocExpiryDate,PercentComplete,CompletionDate,CountryCode,Latitude,Longitude,StreetAddress,PostalCode,City,AreaCode,AreaName,GeogScheme1,GeogName1,GeogScheme2,GeogName2,GeogScheme3,GeogName3,GeogScheme4,GeogName4,GeogScheme5,GeogName5,AddressMatch,GeocodeQuality,Geocoder,OrgOccupancyScheme,OrgOccupancyCode,OrgConstructionScheme,OrgConstructionCode,OccupancyCode,ConstructionCode,YearBuilt,NumberOfStoreys,NumberOfBuildings,FloorArea,FloorAreaUnit,LocUserDef1,LocUserDef2,LocUserDef3,LocUserDef4,LocUserDef5,FlexiLocZZZ,LocPerilsCovered,BuildingTIV,OtherTIV,ContentsTIV,BITIV,BIPOI,LocCurrency,LocGrossPremium,LocTax,LocBrokerage,LocNetPremium,NonCatGroundUpLoss,LocParticipation,PayoutBasis,ReinsTag,CondNumber,CondPriority,LocPeril,YearUpgraded,SurgeLeakage,SprinklerType,PercentSprinklered,RoofCover,RoofYearBuilt,RoofGeometry,RoofEquipment,RoofFrame,RoofMaintenance,BuildingCondition,RoofAttachedStructures,RoofDeck,RoofPitch,RoofAnchorage,RoofDeckAttachment,RoofCoverAttachment,GlassType,LatticeType,FloodZone,SoftStory,Basement,BasementLevelCount,WindowProtection,FoundationType,WallAttachedStructure,AppurtenantStructure,ConstructionQuality,GroundEquipment,EquipmentBracing,Flashing,BuildingShape,ShapeIrregularity,Pounding,Ornamentation,SpecialEQConstruction,Retrofit,CrippleWall,FoundationConnection,ShortColumn,Fatigue,Cladding,BIPreparedness,BIRedundancy,FirstFloorHeight,FirstFloorHeightUnit,Datum,GroundElevation,GroundElevationUnit,Tank,Redundancy,InternalPartition,ExternalDoors,Torsion,MechanicalEquipmentSide,ContentsWindVuln,ContentsFloodVuln,ContentsQuakeVuln,SmallDebris,FloorsOccupied,FloodDefenseHeight,FloodDefenseHeightUnit,FloodDebrisResilience,BaseFloodElevation,BaseFloodElevationUnit,BuildingHeight,BuildingHeightUnit,BuildingValuation,TreeExposure,Chimney,BuildingType,Packaging,Protection,SalvageProtection,ValuablesStorage,DaysHeld,BrickVeneer,FEMACompliance,CustomFloodSOP,CustomFloodZone,MultiStoryHall,BuildingExteriorOpening,ServiceEquipmentProtection,TallOneStory,TerrainRoughness,NumberOfEmployees,Payroll,LocDedCode1Building,LocDedType1Building,LocDed1Building,LocMinDed1Building,LocMaxDed1Building,LocDedCode2Other,LocDedType2Other,LocDed2Other,LocMinDed2Other,LocMaxDed2Other,LocDedCode3Contents,LocDedType3Contents,LocDed3Contents,LocMinDed3Contents,LocMaxDed3Contents,LocDedCode4BI,LocDedType4BI,LocDed4BI,LocMinDed4BI,LocMaxDed4BI,LocDedCode5PD,LocDedType5PD,LocDed5PD,LocMinDed5PD,LocMaxDed5PD,LocDedCode6All,LocDedType6All,LocDed6All,LocMinDed6All,LocMaxDed6All,LocLimitCode1Building,LocLimitType1Building,LocLimit1Building,LocLimitCode2Other,LocLimitType2Other,LocLimit2Other,LocLimitCode3Contents,LocLimitType3Contents,LocLimit3Contents,LocLimitCode4BI,LocLimitType4BI,LocLimit4BI,LocLimitCode5PD,LocLimitType5PD,LocLimit5PD,LocLimitCode6All,LocLimitType6All,LocLimit6All,BIWaitingPeriod
sample locations from Mia,tmnf test locations,1,1,,,,,,2018-01-01,2018-12-31,,,JP,35.550436,139.78099,,1440041,,520,Tokyo,XSUBA,Ota-ku,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,2,2,,,,,,2018-01-01,2018-12-31,,,JP,35.667511,139.777173,,1040044,,520,Tokyo,XSUBA,Chuo-ku,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,3,3,,,,,,2018-01-01,2018-12-31,,,JP,35.615327,139.756043,,1400002,,520,Tokyo,XSUBA,Shinagawa-ku,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,4,4,,,,,,2018-01-01,2018-12-31,,,JP,34.570531,135.441849,,5928332,,840,Osaka,XSUBA,Nishi-ku Sakai-shi,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,5,5,,,,,,2018-01-01,2018-12-31,,,JP,32.890974,130.837809,,8691236,,1140,Kumamoto,XSUBA,Ozu-machi Kikuchi-gun,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,6,6,,,,,,2018-01-01,2018-12-31,,,JP,32.825432,130.012944,,8540065,,1130,Nagasaki,XSUBA,Isahaya-shi,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,7,7,,,,,,2018-01-01,2018-12-31,,,JP,33.183368,131.68166,,8700124,,1150,Oita,XSUBA,Oita-shi,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,8,8,,,,,,2018-01-01,2018-12-31,,,JP,35.170247,136.884981,,4516004,,650,Aichi,XSUBA,Nishi-ku Nagoya-shi,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia,tmnf test locations,9,9,,,,,,2018-01-01,2018-12-31,,,JP,35.154503,138.70625,,4170003,,640,Shizuoka,XSUBA,Fuji-shi,XSUB2,,,,,,,,1,,UN,AIR,315,AIR,154,1104,5203,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
sample locations from Mia 2,tmnf test locations 2,Haneda,Haneda,,,,,,2018-01-01,2018-12-31,,,JP,35.550436,139.78099,,1440041,,520,Tokyo,XSUBA,Ota-ku,XSUB2,,,,,,,,1,,UN,AIR,311,AIR,100,1100,5000,0,0,1,1.0,11,,,,,,,QTS;BBF;QLS;QSL;QEQ;QFF,100000.0,0.0,100000.0,100000.0,365,USD,0.0,,,,0.0,1.0,,,,1,QTS;BBF;QLS;QSL;QEQ;QFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,,,,,,,,,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,,,,,,,
